,tweet_RER_C,heure_du_tweet
129,"bonjour emilie , en effet et c ' est la vérité , les retards sont de l ' ordre de 8 à 12 minutes en direc …",2020-12-08 05:48:47
130,"sncf bonjour , à partir de quel jour le rer c sera dispo entre savigny / orge et bfm ? merci",2020-12-08 05:39:14
131,sncf l ’ absence de rer c m ’ oblige à emprunter votre ligne pour m ’ avancer vers choisy le roi,2020-12-08 05:38:32
132,,2020-12-08 01:07:43
133,laissez le terminus du rer a c ’ est abobo mtn jpp,2020-12-08 00:12:26
134,"le respect de la loi sru , c ' est éviter à une infirmière d ' habiter à des kilomètres de son travail , à …",2020-12-07 22:19:15
135,️ sncfvousinforme suite à la chute de la poutre sur les voies du sncf,2020-12-07 22:00:40
136,vraiment c l ' enfer quand tu sors du rer,2020-12-07 21:04:14
137,rerb faride même niveau point de vue voyageur prendre de grosses valises pour les …,2020-12-07 20:39:14
138,"bref j ' ai atterri y a 1h , et je n ' ai pas quitté cdg , pour un vol intra - ue sans bagage ... râler sur les avions c ' es …",2020-12-07 19:29:52
139,"30 min de bouchon . en plus j ’ ai dû passer par des petites routes skinny avec le big camtar , 1h de route av …",2020-12-07 19:24:46
140,usagersidf transilien …,2020-12-07 19:17:18
141,"le découpage de la poutre tombée sur les rails du rer c a débuté ce lundi , le chantier mobilise près de 150 perso …",2020-12-07 17:53:53
142,des vidéos et photos du sciage et levage de la poutre tombée sur les voies du rer c . dont 2 grues kirow .…,2020-12-07 17:04:36
143,les rer c c ’ est de la chiasse 20 min d ’ attende . fuck epinay . rt uzuraa,2020-12-07 16:48:28
144,azii le rer b c ’ est une glr,2020-12-07 16:45:57
145,j ’ avais oublié ce que ça faisait de prendre le rer e . 17h35 et c ’ est un train court .,2020-12-07 16:36:06
146,la piste cyclable qui disparait devant l ' entrée du rer c à massy - palaiseau …,2020-12-07 16:22:40
147,images . chute d ' une poutre sur les voies du rerc à paris : les voies dégagées en milieu de semaine via,2020-12-07 16:10:49
148,jupiterbis gov je répète souvent que c ' est l ' impérialisme qui engendre du terrorisme . je peux ajouter …,2020-12-07 15:55:13
149,le trafic sera t ’ il rétabli rer c le 14 décembre ? merci de votre réponse .,2020-12-07 15:17:35
150,le rer v est une excellente idée qui aurait déjà marinée d ’ être e …,2020-12-07 15:14:40
151,"ams c ’ est vrai que c ’ est triste pour les commerces qui ferment sah force à eux , mais bon c ’ est mieux de subir …",2020-12-07 14:57:26
152,"dernier jour du beforecdg3 , on atteint 405 , 30 € !!! ️ soirée full fps avec du paladins , valorant et du overwatch …",2020-12-07 14:04:24
153,c ’ est sûr que c ’ est pas les roumaines du rer à,2020-12-07 13:51:48
154,la ligne 9 elle est sans fin .... t ’ as 12 kilomètres entre chèques stations c ’ est un rer,2020-12-08 16:17:27
155,ptdr encore heureux parce que je comptais archi pas respecter . c ’ est bon tu sors y a des gens sans masque dans la r …,2020-12-08 15:17:48
156,la circulation du rer c perturbée au moins jusqu ’ à mi - décembre,2020-12-08 15:13:32
157,a celui direction cergy le haut c ’ est un uzel on arrive à la défense,2020-12-08 15:08:41
158,""" rer c : une semaine après la chute de la poutre , « pas de visibilité » sur la reprise du trafic (…",2020-12-08 14:57:35
159,c ’ est combien de temps de trajet le rer qui fait châtelet - dubaï,2020-12-08 14:34:22
160,le meilleur rer c ’ est le a,2020-12-08 14:25:19
161,c ’ est bon le rer a c ’ est un malien on a enfin trouver son origine,2020-12-08 14:17:25
162,a c ' est un soninké le cm ?,2020-12-08 14:14:07
163,"2x20 , voire 2x25 ... les tec c ' est galère , j ' habite à 30 minutes à pieds de la gare , j ' ai failli per …",2020-12-08 14:04:43
164,le rer d c ’ est vraiment quelque chose y a un duo qui se roulent un joint sans pression en criant tout fort,2020-12-08 13:16:35
165,tu prends le rer à à 8h pour faire cergy - paris gare de lyon le temps que t ' arrive c ' est déjà l ' heure de déjeuner,2020-12-08 13:13:35
166,a c ’ est sans doute à l ’ ancienne en 2012 / 2013,2020-12-08 12:16:22
167,tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …,2020-12-08 12:11:53
168,tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …,2020-12-08 12:10:48
169,je ss dans le rer a guetter je vois quoi ma pote elle a crus c ’ était des sabots,2020-12-08 11:57:59
170,"imaginez ma déception quand , encore jeune étudiant , j ' ai découvert la vraie destination des rer "" nice ' ( d ) et "" bali …",2020-12-08 11:49:39
171,a ok . a houilles / carrières - sur - seine on a dit à une dame qu ' il fallait que la personne se déplace ... c ' est just …,2020-12-08 11:08:26
172,bonjour a vous n ' avez pas de pince pour récupérer les objets tombés sur les voies en gare ? du coup faut atte …,2020-12-08 11:02:10
173,c ' est déjà noël . le rer vélo imaginé par ( 30 associations dont ) est devenu bien reel . la rég …,2020-12-08 10:31:57
174,jdois aller cherchez un colis à paris mais fuck rer c rt 50lo2,2020-12-08 10:31:17
175,c ’ était y a qqs mois dans le metro y avait un groupe de mecs qui me suivait depuis un moment et ils me faisaient su …,2020-12-08 10:31:03
176,je ne cours plus après les rer c ’ est finit,2020-12-08 08:32:25
177,le rer a il a quoi ? pourquoi il est aussi lent tous les jours ? tu sors tranquille t ’ arrives en retard pour rien . c ’ est abusé,2020-12-08 08:07:02
178,pourquoi le rer b est rempli ? genre vous avez tous un taf la ? le chomage c ’ est un mythe pardonnez moi .,2020-12-08 07:59:13
179,ah ouais le rer b qui bande de bon matin c ' est carré,2020-12-08 07:59:03
180,y ’ a une brésilienne qui embrouille son mec dans le rer d c ’ est clairement terrible,2020-12-08 07:53:01
181,tous les jours je vais me taper la mm dame qui ouvre la fenêtre dans le rer ? sérieux je mérite ça ? rendez moi le …,2020-12-08 07:40:38
182,c ’ est incroyable quand même d ’ avoir des rer vides à 8h30,2020-12-08 07:30:28
183,j ’ espère que y ’ aura pas de problème avec le rer c pour aller à epinay rt awa78,2020-12-08 07:30:12
184,un daronne bizarre c ’ est assis à côté de moi dans le rer vide et elle fait des signes bizarre et elle arrive pas à tenir en place sah,2020-12-08 06:10:37
185,"bonjour emilie , en effet et c ' est la vérité , les retards sont de l ' ordre de 8 à 12 minutes en direc …",2020-12-08 05:48:47
186,"sncf bonjour , à partir de quel jour le rer c sera dispo entre savigny / orge et bfm ? merci",2020-12-08 05:39:14
187,sncf l ’ absence de rer c m ’ oblige à emprunter votre ligne pour m ’ avancer vers choisy le roi,2020-12-08 05:38:32
188,,2020-12-08 01:07:43
189,laissez le terminus du rer a c ’ est abobo mtn jpp,2020-12-08 00:12:26
190,"le respect de la loi sru , c ' est éviter à une infirmière d ' habiter à des kilomètres de son travail , à …",2020-12-07 22:19:15
191,️ sncfvousinforme suite à la chute de la poutre sur les voies du sncf,2020-12-07 22:00:40
192,vraiment c l ' enfer quand tu sors du rer,2020-12-07 21:04:14
193,rerb faride même niveau point de vue voyageur prendre de grosses valises pour les …,2020-12-07 20:39:14
194,"bref j ' ai atterri y a 1h , et je n ' ai pas quitté cdg , pour un vol intra - ue sans bagage ... râler sur les avions c ' es …",2020-12-07 19:29:52
195,"30 min de bouchon . en plus j ’ ai dû passer par des petites routes skinny avec le big camtar , 1h de route av …",2020-12-07 19:24:46
196,usagersidf transilien …,2020-12-07 19:17:18
197,"le découpage de la poutre tombée sur les rails du rer c a débuté ce lundi , le chantier mobilise près de 150 perso …",2020-12-07 17:53:53
198,des vidéos et photos du sciage et levage de la poutre tombée sur les voies du rer c . dont 2 grues kirow .…,2020-12-07 17:04:36
199,les rer c c ’ est de la chiasse 20 min d ’ attende . fuck epinay . rt uzuraa,2020-12-07 16:48:28
200,azii le rer b c ’ est une glr,2020-12-07 16:45:57
201,j ’ avais oublié ce que ça faisait de prendre le rer e . 17h35 et c ’ est un train court .,2020-12-07 16:36:06
202,la piste cyclable qui disparait devant l ' entrée du rer c à massy - palaiseau …,2020-12-07 16:22:40
203,images . chute d ' une poutre sur les voies du rerc à paris : les voies dégagées en milieu de semaine via,2020-12-07 16:10:49
204,jupiterbis gov je répète souvent que c ' est l ' impérialisme qui engendre du terrorisme . je peux ajouter …,2020-12-07 15:55:13
205,le trafic sera t ’ il rétabli rer c le 14 décembre ? merci de votre réponse .,2020-12-07 15:17:35
206,le rer v est une excellente idée qui aurait déjà marinée d ’ être e …,2020-12-07 15:14:40
207,"ams c ’ est vrai que c ’ est triste pour les commerces qui ferment sah force à eux , mais bon c ’ est mieux de subir …",2020-12-07 14:57:26
208,"dernier jour du beforecdg3 , on atteint 405 , 30 € !!! ️ soirée full fps avec du paladins , valorant et du overwatch …",2020-12-07 14:04:24
209,c ’ est sûr que c ’ est pas les roumaines du rer à,2020-12-07 13:51:48
210,la ligne 9 elle est sans fin .... t ’ as 12 kilomètres entre chèques stations c ’ est un rer,2020-12-08 16:17:27
211,ptdr encore heureux parce que je comptais archi pas respecter . c ’ est bon tu sors y a des gens sans masque dans la r …,2020-12-08 15:17:48
212,la circulation du rer c perturbée au moins jusqu ’ à mi - décembre,2020-12-08 15:13:32
213,a celui direction cergy le haut c ’ est un uzel on arrive à la défense,2020-12-08 15:08:41
214,""" rer c : une semaine après la chute de la poutre , « pas de visibilité » sur la reprise du trafic (…",2020-12-08 14:57:35
215,c ’ est combien de temps de trajet le rer qui fait châtelet - dubaï,2020-12-08 14:34:22
216,le meilleur rer c ’ est le a,2020-12-08 14:25:19
217,c ’ est bon le rer a c ’ est un malien on a enfin trouver son origine,2020-12-08 14:17:25
218,a c ' est un soninké le cm ?,2020-12-08 14:14:07
