;tweet_RER_B;heure_du_tweet
74;bonjour je n ' arrive pas à savoir si le rer b fonctionne normalement demain . pouvez vous m ' aider svp et me dir …;2020-12-07 16:14:28
75;jupiterbis gov je répète souvent que c ' est l ' impérialisme qui engendre du terrorisme . je peux ajouter …;2020-12-07 15:55:13
76;la bas j etais perdu de base je prends le rer b;2020-12-07 15:47:47
77;yoyo fr pour répondre à quel besoin ? de plus , le rer b sera connecté à la ligne 16 et à la 15 à terme;2020-12-07 13:34:04
78;grande inquiètude pour le rer b : la commande des nouveaux trains est menacée par la mauvaise volonté de la ratp et …;2020-12-07 12:06:22
79;j ’ ai rer a + rer b;2020-12-07 12:05:01
80;fallu encore attendre une procédure d appel d offre et attendre la mise en industrie qui intervient que maintenant …;2020-12-07 10:12:10
81;tiens , y a ni auber rer a , ni les halles rer b poke;2020-12-07 10:10:35
82;franchement monsieur , vous qui êtes de saint denis vous pouvez remercier la région , rer …;2020-12-07 09:39:56
83;pouvez - vous mettre un lien qui fonctionne ..... le rer b un laxisme depuis des années nous pouvons r …;2020-12-07 09:07:52
84;;2020-12-07 08:18:43
85;vari cdg express va avoir des conséquences sur les usagers du rer b . ça on s ’ en doute car sncf réseau a tou …;2020-12-06 23:45:44
86;transports en ile - de - france : avis de tempête sur le rer b - le parisien;2020-12-06 22:23:09
87;rerb faride c ' est vrai mais le temps de parcours a pris cher au fil des ans surtou …;2020-12-06 22:01:27
88;jb bah y ' a pas rien là , y ' a au moins deux options . on peut …;2020-12-06 21:10:37
89;transports en ile - de - france : avis de tempête sur le rer b - le parisien;2020-12-06 19:38:03
90;;2020-12-06 17:10:49
91;le rer b c ’ est grv dla merde mais il me manque quand même;2020-12-06 16:43:42
92;« par exemple , le pont de soissons , à saint - denis , doit être refait pour accueillir le cdg express , mais aussi les …;2020-12-06 16:27:03
93;;2020-12-06 16:25:14
94;« par exemple , le pont de soissons , à saint - denis , doit être refait pour accueillir le cdg express , mais aussi les …;2020-12-06 16:24:44
95;transports en ile - de - france : avis de tempête sur le rer b ?;2020-12-06 16:15:53
96;je prend le rer b , all my ptsd are coming back to me;2020-12-06 13:10:50
97;rer b;2020-12-06 10:33:57
98;pas de rer b ce dimanche;2020-12-06 07:52:22
99;timpe non parce que là ratp c ’ est juste les métros et le rer a et b le reste c ’ est sncf;2020-12-05 23:26:24
100;incident en gare du nord : trafic interrompu sur le rer b et le rer d , fortes perturbations rt ffranouche;2020-12-05 19:41:20
101;usagersidf tout à fait d ’ accord : un bus en site propre cadencé sur la fréquentation serait suffisant et acce …;2020-12-05 09:38:40
102;lambert75 rer b sud c ' est lamentable;2020-12-05 09:26:17
103;dites vous hier je devais descendre au blanc - mesnil je me suis trompé de rer b je suis allé à charles - de - gaulle c ’ était un direct imaginez ??;2020-12-05 09:01:09
104;les joies du rer b;2020-12-04 22:58:05
105;? - panne d ' un train ? vendredi 4 décembre 2020 à 17h00 , en raison d ' un train en panne , le trafic est perturbé de …;2020-12-04 16:03:51
106;ce bon vieux rer b;2020-12-04 15:12:33
107;na mais attend j ' vien de réfléchir t ' as pris ta pdp dans le rer b ou j ' reve ?;2020-12-04 12:03:41
108;le meilleur rer c ’ est vraiment le b;2020-12-04 11:06:32
109;le rer b ça fait 1 semaine il est à l ’ approche fout la haine;2020-12-04 09:53:55
110;? - travaux ( 1 ) ? ( rer b ) à partir du 04 / 12 / 20 , le trafic sera interrompu entre aulnay et aeroport charles de gau …;2020-12-04 09:04:40
111;tm seuls ceux qui prennent le rer b peuvent devenir champions sur tm , regardes le grand;2020-12-04 08:25:31
112;papou j ' préférais être dans mon lit qu ' en train d ' attendre mon rer b à châtelet n ' empêche;2020-12-04 07:14:09
113;le rer b si y ’ a pas un problème par jour ils meurent;2020-12-04 06:36:34
114;incident en garedunord : le trafic a été interrompu sur le rerb et sur le rerd , avant de reprendre vers 6h30 . de …;2020-12-04 05:37:36
115;en france on produit à la pelle des médailles fields mais les gamins sont derniers de la classe en mathématiques .…;2020-12-08 14:54:39
116;la première fois que j ’ ai été chez julien y ’ a un mec qui s ’ est mit à fumer du crack dans le rer b devant nous j ’ éta …;2020-12-08 14:38:06
117;kelly je vous suggère d ’ être auditionnée non pas à l ’ assemblée nationale mais publiquement dans le rer b …;2020-12-08 12:50:36
118;bon a cause du rer b , je vais peut être arriver en retard pour le 2eme jours de taff rt link8894;2020-12-08 09:11:38
119;pourquoi le rer b est rempli ? genre vous avez tous un taf la ? le chomage c ’ est un mythe pardonnez moi .;2020-12-08 07:59:13
120;ah ouais le rer b qui bande de bon matin c ' est carré;2020-12-08 07:59:03
121;bonjour , sur l ’ application sncf il est indiqué qu ’ il y a aucun rer b en circulation . y a t - il bien des port r …;2020-12-08 05:52:09
122;rerb faride même niveau point de vue voyageur prendre de grosses valises pour les …;2020-12-07 20:39:14
123;nowplaying dexter goldberg trio - rer b rer b dexter goldberg trio;2020-12-07 18:43:02
124;ma phobie : rer b châtelet a drancy;2020-12-07 17:31:52
125;rerb faride excepté une meilleure desserte locale ( branche mitry à aéroport cdg ) ç …;2020-12-07 17:24:26
